Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Apr 1, 2021",16,34,"$2,824.46","$2,824.46",$0.00,$0.00,$112.50,$0.00,$0.00
"Apr 2, 2021",4,14,"$1,486.52","$1,486.52",$0.00,$0.00,$30.00,$0.00,$0.00
"Apr 3, 2021",5,30,"$1,227.54","$1,227.54",$0.00,$0.00,$37.50,$0.00,$0.00
"Apr 4, 2021",2,7,$493.96,$493.96,$0.00,$0.00,$15.00,$0.00,$0.00
"Apr 5, 2021",7,33,"$3,887.98","$3,887.98",$0.00,$0.00,$195.00,$0.00,$0.00
"Apr 6, 2021",4,8,$565.74,$565.74,$0.00,$0.00,$30.00,$0.00,$0.00
"Apr 7, 2021",3,6,$567.90,$567.90,$0.00,$0.00,$22.50,$0.00,$0.00
"Apr 8, 2021",5,14,$722.26,$722.26,$0.00,$0.00,$45.00,$0.00,$0.00
"Apr 9, 2021",5,7,$252.81,$252.81,$0.00,$0.00,$30.00,$0.00,$0.00
"Apr 10, 2021",4,14,"$1,279.48","$1,279.48",$0.00,$0.00,$30.00,$0.00,$0.00
"Apr 11, 2021",3,11,$309.33,$309.33,$0.00,$0.00,$22.50,$9.50,$0.00
"Apr 12, 2021",6,44,"$1,430.75","$1,430.75",$0.00,$0.00,$57.50,$0.00,$0.00
"Apr 13, 2021",8,18,$532.36,$532.36,$0.00,$0.00,$52.50,$0.00,$0.00
"Apr 14, 2021",1,1,$30.45,$30.45,$0.00,$0.00,$7.50,$0.00,$0.00
"Apr 15, 2021",4,13,$834.86,$834.86,$0.00,$0.00,$30.00,$0.00,$0.00
"Apr 16, 2021",2,3,$113.97,$113.97,$0.00,$0.00,$15.00,$0.00,$0.00
"Apr 17, 2021",3,12,"$4,379.37","$4,379.37",$0.00,$0.00,$30.00,$0.00,$0.00
"Apr 19, 2021",4,4,$406.21,$406.21,$0.00,$0.00,$30.00,$0.00,$0.00
"Apr 20, 2021",1,2,$87.40,$87.40,$0.00,$0.00,$7.50,$0.00,$0.00
"Apr 21, 2021",4,10,$239.45,$239.45,$0.00,$0.00,$30.00,$3.99,$0.00
"Apr 22, 2021",6,7,"$1,145.61","$1,145.61",$0.00,$0.00,$45.00,$0.00,$0.00
"Apr 23, 2021",3,5,$585.80,$585.80,$0.00,$0.00,$35.00,$0.00,$0.00
"Apr 24, 2021",2,3,$269.42,$269.42,$0.00,$0.00,$15.00,$0.00,$0.00
"Apr 25, 2021",4,9,$617.54,$617.54,$0.00,$0.00,$30.00,$0.00,$0.00
"Apr 26, 2021",2,4,$76.99,$76.99,$0.00,$0.00,$15.00,$0.00,$0.00
"Apr 27, 2021",2,3,$326.40,$326.40,$0.00,$0.00,$27.50,$0.00,$0.00
"Apr 28, 2021",3,27,$485.17,$485.17,$0.00,$0.00,$22.50,$37.79,$0.00
"Apr 29, 2021",8,13,$944.44,$944.44,$0.00,$0.00,$60.00,$0.00,$0.00
"Apr 30, 2021",6,33,"$2,729.35","$2,729.35",$0.00,$0.00,$45.00,$0.00,$0.00
Total,127,389,"$28,853.52","$28,853.52",$0.00,$0.00,"$1,125.00",$51.28,$0.00
