Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Jun 1, 2021",7,37,"$1,209.50","$1,209.50",$0.00,$0.00,$52.50,$0.00,$0.00
"Jun 2, 2021",8,23,$886.99,$886.99,$0.00,$0.00,$60.00,$0.00,$0.00
"Jun 3, 2021",3,5,"$1,152.85","$1,152.85",$0.00,$0.00,$22.50,$0.00,$0.00
"Jun 4, 2021",4,9,$204.38,$204.38,$0.00,$0.00,$30.00,$0.00,$0.00
"Jun 5, 2021",2,3,$114.85,$114.85,$0.00,$0.00,$15.00,$0.00,$0.00
"Jun 6, 2021",4,16,$473.70,$473.70,$0.00,$0.00,$30.00,$0.00,$0.00
"Jun 7, 2021",10,25,"$2,025.22","$2,025.22",$0.00,$0.00,$60.00,$172.69,$0.00
"Jun 8, 2021",11,43,"$2,302.21","$2,302.21",$0.00,$0.00,$95.00,$235.11,$0.00
"Jun 9, 2021",18,104,"$5,130.66","$5,130.66",$0.00,$0.00,$127.50,$759.88,$0.00
"Jun 10, 2021",7,32,"$2,272.45","$2,272.45",$0.00,$0.00,$52.50,$505.65,$0.00
"Jun 11, 2021",8,30,"$1,505.72","$1,505.72",$0.00,$0.00,$67.50,$1.80,$0.00
"Jun 12, 2021",4,20,$458.14,$458.14,$0.00,$0.00,$30.00,$7.96,$0.00
"Jun 13, 2021",6,15,$380.96,$380.96,$0.00,$0.00,$57.50,$5.69,$0.00
"Jun 14, 2021",17,63,"$3,955.02","$3,955.02",$0.00,$0.00,$142.50,$0.00,$0.00
"Jun 15, 2021",10,46,"$3,698.58","$3,698.58",$0.00,$0.00,$82.50,$0.00,$0.00
"Jun 16, 2021",16,45,"$2,626.76","$2,626.76",$0.00,$0.00,$140.00,$0.00,$0.00
"Jun 17, 2021",21,72,"$3,949.36","$3,949.36",$0.00,$0.00,$177.50,$13.18,$0.00
"Jun 18, 2021",22,64,"$6,660.28","$6,660.28",$0.00,$0.00,$165.00,$6.63,$0.00
"Jun 19, 2021",11,49,"$2,186.58","$2,186.58",$0.00,$0.00,$67.50,$0.00,$0.00
"Jun 20, 2021",14,72,"$3,351.01","$3,351.01",$0.00,$0.00,$97.50,$0.00,$0.00
"Jun 21, 2021",13,38,"$4,010.50","$4,010.50",$0.00,$0.00,$82.50,$0.00,$0.00
"Jun 22, 2021",13,22,"$2,417.14","$2,417.14",$0.00,$0.00,$90.00,$0.00,$0.00
"Jun 23, 2021",16,81,"$3,946.05","$3,946.05",$0.00,$0.00,$90.00,$0.00,$0.00
"Jun 24, 2021",23,121,"$6,788.63","$6,834.17",$0.00,$0.00,$300.00,$138.33,$45.54
"Jun 25, 2021",17,57,"$3,645.94","$3,645.94",$0.00,$0.00,$127.50,$0.00,$0.00
"Jun 26, 2021",3,7,$239.88,$239.88,$0.00,$0.00,$30.00,$0.00,$0.00
"Jun 27, 2021",5,23,"$1,345.68","$1,345.68",$0.00,$0.00,$37.50,$0.00,$0.00
"Jun 28, 2021",5,20,$659.85,$659.85,$0.00,$0.00,$30.00,$0.00,$0.00
"Jun 29, 2021",17,76,"$3,773.01","$3,773.01",$0.00,$0.00,$140.00,$173.76,$0.00
"Jun 30, 2021",8,18,$894.71,$894.71,$0.00,$0.00,$52.50,$538.60,$0.00
Total,323,1236,"$72,266.61","$72,312.15",$0.00,$0.00,"$2,552.50","$2,559.28",$45.54
