Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Jul 1, 2021",21,325,"$1,231.91","$1,231.91",$0.00,$0.00,$52.50,$43.81,$0.00
"Jul 2, 2021",17,104,"$1,375.86","$1,375.86",$0.00,$77.15,$52.50,$41.70,$0.00
"Jul 3, 2021",6,14,$347.01,$347.01,$0.00,$0.00,$37.50,$0.00,$0.00
"Jul 4, 2021",4,8,"$1,194.55","$1,194.55",$0.00,$0.00,$30.00,$0.00,$0.00
"Jul 5, 2021",23,409,"$2,171.50","$2,171.50",$0.00,$0.00,$75.00,$27.58,$0.00
"Jul 6, 2021",17,213,"$1,458.25","$1,458.25",$0.00,$0.00,$52.50,$0.00,$0.00
"Jul 7, 2021",25,457,"$2,116.41","$2,116.41",$0.00,$106.35,$50.00,$4.25,$0.00
"Jul 8, 2021",30,300,"$4,691.71","$4,691.71",$0.00,$152.18,$120.00,$0.00,$0.00
"Jul 9, 2021",20,268,"$2,233.69","$2,233.69",$0.00,$16.02,$52.50,$47.87,$0.00
"Jul 10, 2021",7,70,$519.94,$519.94,$0.00,$0.00,$45.00,$0.00,$0.00
"Jul 11, 2021",8,46,$646.23,$646.23,$0.00,$0.00,$52.50,$0.00,$0.00
"Jul 12, 2021",20,241,"$1,089.73","$1,089.73",$0.00,$21.75,$37.50,$71.10,$0.00
"Jul 13, 2021",28,180,"$4,152.19","$4,152.19",$0.00,$26.65,$252.50,$0.00,$0.00
"Jul 14, 2021",25,187,"$2,268.06","$2,268.06",$0.00,$0.00,$82.50,$13.49,$0.00
"Jul 15, 2021",18,262,"$1,298.89","$1,298.89",$0.00,$9.71,$60.00,$0.00,$0.00
"Jul 16, 2021",20,182,"$2,263.67","$2,263.67",$0.00,$99.49,$67.50,$0.00,$0.00
"Jul 17, 2021",8,13,"$1,270.36","$1,270.36",$0.00,$0.00,$60.00,$0.00,$0.00
"Jul 18, 2021",5,17,"$1,443.23","$1,443.23",$0.00,$0.00,$37.50,$0.00,$0.00
"Jul 19, 2021",29,381,$804.12,$804.12,$0.00,$14.45,$45.00,$0.00,$0.00
"Jul 20, 2021",25,179,"$2,429.75","$2,429.75",$0.00,$0.00,$97.50,$31.90,$0.00
"Jul 21, 2021",23,353,"$1,619.58","$1,619.58",$0.00,$59.02,$52.50,$0.00,$0.00
"Jul 22, 2021",16,153,"$8,464.21","$8,464.21",$0.00,$923.76,$60.00,$0.00,$0.00
"Jul 23, 2021",13,132,$502.82,$502.82,$0.00,$0.00,$30.00,$0.00,$0.00
"Jul 24, 2021",8,99,$580.16,$580.16,$0.00,$32.39,$30.00,$0.00,$0.00
"Jul 25, 2021",8,28,$436.75,$436.75,$0.00,$0.00,$45.00,$0.00,$0.00
"Jul 26, 2021",20,284,$455.72,$455.72,$0.00,$43.29,$22.50,$0.00,$0.00
"Jul 27, 2021",15,476,"$5,668.91","$5,668.91",$0.00,$14.07,$60.00,$0.00,$0.00
"Jul 28, 2021",20,110,"$1,760.57","$1,760.57",$0.00,$19.17,$67.50,$0.00,$0.00
"Jul 29, 2021",25,267,"$3,260.40","$3,260.40",$0.00,$0.00,$67.50,$152.67,$0.00
"Jul 30, 2021",14,120,$956.47,$956.47,$0.00,$53.54,$57.50,$4.00,$0.00
"Jul 31, 2021",4,24,$692.81,$692.81,$0.00,$0.00,$30.00,$0.00,$0.00
Total,522,5902,"$59,405.46","$59,405.46",$0.00,"$1,668.99","$1,882.50",$438.37,$0.00
