Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Oct 1, 2021",3,8,"$2,094.65","$2,094.65",$0.00,$0.00,$15.00,$0.00,$0.00
"Oct 2, 2021",3,5,$168.01,$168.01,$0.00,$0.00,$22.50,$0.00,$0.00
"Oct 3, 2021",10,19,"$1,688.05","$1,688.05",$0.00,$0.00,$75.00,$0.00,$0.00
"Oct 4, 2021",10,21,"$1,340.57","$1,340.57",$0.00,$0.00,$75.00,$0.00,$0.00
"Oct 5, 2021",8,16,$667.14,$667.14,$0.00,$0.00,$60.00,$0.00,$0.00
"Oct 6, 2021",7,13,$564.47,$564.47,$0.00,$0.00,$52.50,$0.00,$0.00
"Oct 7, 2021",6,11,"$1,262.14","$1,262.14",$0.00,$0.00,$45.00,$0.00,$0.00
"Oct 8, 2021",10,34,"$1,267.74","$1,267.74",$0.00,$0.00,$67.50,$0.00,$0.00
"Oct 9, 2021",6,12,$358.15,$358.15,$0.00,$0.00,$45.00,$0.00,$0.00
"Oct 10, 2021",3,6,$175.25,$175.25,$0.00,$0.00,$22.50,$0.00,$0.00
"Oct 11, 2021",10,23,$887.54,$887.54,$0.00,$0.00,$67.50,$0.00,$0.00
"Oct 12, 2021",7,25,$900.33,$900.33,$0.00,$0.00,$60.00,$0.00,$0.00
"Oct 13, 2021",6,10,$740.55,$740.55,$0.00,$0.00,$45.00,$0.00,$0.00
"Oct 14, 2021",7,21,$484.87,$484.87,$0.00,$0.00,$52.50,$0.00,$0.00
"Oct 15, 2021",7,8,"$2,363.10","$2,363.10",$0.00,$0.00,$52.50,$0.00,$0.00
"Oct 16, 2021",5,13,$469.44,$469.44,$0.00,$0.00,$37.50,$0.00,$0.00
"Oct 17, 2021",5,13,"$1,810.93","$1,810.93",$0.00,$0.00,$42.50,$0.00,$0.00
"Oct 18, 2021",10,63,"$2,549.61","$2,549.61",$0.00,$0.00,$45.00,$0.00,$0.00
"Oct 19, 2021",8,12,"$1,062.50","$1,062.50",$0.00,$0.00,$52.50,$0.00,$0.00
"Oct 20, 2021",7,24,$714.30,$714.30,$0.00,$0.00,$52.50,$0.00,$0.00
"Oct 21, 2021",8,24,"$1,824.37","$1,824.37",$0.00,$0.00,$60.00,$0.00,$0.00
"Oct 22, 2021",6,10,$394.09,$394.09,$0.00,$0.00,$37.50,$0.00,$0.00
"Oct 23, 2021",5,14,$667.81,$667.81,$0.00,$0.00,$37.50,$0.00,$0.00
"Oct 24, 2021",5,8,"$1,060.06","$1,060.06",$0.00,$0.00,$57.50,$0.00,$0.00
"Oct 25, 2021",10,27,"$2,099.55","$2,099.55",$0.00,$0.00,$75.00,$0.00,$0.00
"Oct 26, 2021",10,25,$965.38,$965.38,$0.00,$0.00,$67.50,$0.00,$0.00
"Oct 27, 2021",9,23,"$1,141.67","$1,141.67",$0.00,$0.00,$60.00,$0.00,$0.00
"Oct 28, 2021",6,25,"$1,650.41","$1,650.41",$0.00,$0.00,$37.50,$10.09,$0.00
"Oct 29, 2021",10,19,"$1,461.71","$1,461.71",$0.00,$0.00,$67.50,$0.00,$0.00
"Oct 30, 2021",9,22,"$1,852.36","$1,852.36",$0.00,$0.00,$60.00,$0.00,$0.00
"Oct 31, 2021",5,14,$576.85,$576.85,$0.00,$0.00,$37.50,$0.00,$0.00
Total,227,579,"$35,731.91","$35,731.91",$0.00,$0.00,"$1,615.00",$10.09,$0.00
