Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Nov 1, 2021",7,12,$504.26,$504.26,$0.00,$0.00,$37.50,$0.00,$0.00
"Nov 2, 2021",10,22,"$2,165.87","$2,165.87",$0.00,$0.00,$60.00,$0.00,$0.00
"Nov 3, 2021",8,34,"$1,781.81","$1,781.81",$0.00,$0.00,$52.50,$0.00,$0.00
"Nov 4, 2021",4,12,$300.62,$300.62,$0.00,$0.00,$30.00,$0.00,$0.00
"Nov 5, 2021",6,10,"$1,062.86","$1,062.86",$0.00,$0.00,$37.50,$0.00,$0.00
"Nov 6, 2021",6,9,$497.58,$497.58,$0.00,$0.00,$52.50,$0.00,$0.00
"Nov 7, 2021",9,18,$402.36,$402.36,$0.00,$0.00,$60.00,$0.00,$0.00
"Nov 8, 2021",10,32,"$1,606.07","$1,606.07",$0.00,$0.00,$75.00,$0.00,$0.00
"Nov 9, 2021",3,3,$117.86,$117.86,$0.00,$0.00,$22.50,$0.00,$0.00
"Nov 10, 2021",11,35,"$1,963.80","$1,963.80",$0.00,$0.00,$75.00,$0.00,$0.00
"Nov 11, 2021",6,14,$960.63,$960.63,$0.00,$0.00,$37.50,$0.00,$0.00
"Nov 12, 2021",11,22,"$1,159.15","$1,159.15",$0.00,$0.00,$75.00,$0.00,$0.00
"Nov 13, 2021",7,21,$737.95,$737.95,$0.00,$0.00,$45.00,$0.00,$0.00
"Nov 14, 2021",9,13,$938.72,$938.72,$0.00,$0.00,$67.50,$0.00,$0.00
"Nov 15, 2021",12,46,"$1,727.10","$1,727.10",$0.00,$0.00,$97.50,$22.01,$0.00
"Nov 16, 2021",7,26,$727.85,$727.85,$0.00,$0.00,$52.50,$0.00,$0.00
"Nov 17, 2021",8,104,"$2,232.08","$2,232.08",$0.00,$0.00,$45.00,$0.00,$0.00
"Nov 18, 2021",9,55,"$1,062.55","$1,062.55",$0.00,$0.00,$60.00,$0.00,$0.00
"Nov 19, 2021",9,21,"$1,946.87","$1,946.87",$0.00,$0.00,$67.50,$189.57,$0.00
"Nov 20, 2021",5,14,$370.47,$370.47,$0.00,$0.00,$30.00,$0.00,$0.00
"Nov 21, 2021",6,14,$874.69,$874.69,$0.00,$0.00,$37.50,$53.93,$0.00
"Nov 22, 2021",10,72,"$3,291.23","$3,291.23",$0.00,$0.00,$75.00,$38.07,$0.00
"Nov 23, 2021",11,45,"$1,489.15","$1,489.15",$0.00,$0.00,$82.50,$63.85,$0.00
"Nov 24, 2021",17,55,"$3,668.10","$3,668.10",$0.00,$0.00,$140.00,$103.40,$0.00
"Nov 25, 2021",6,18,"$1,090.31","$1,090.31",$0.00,$0.00,$52.50,$20.36,$0.00
"Nov 26, 2021",27,98,"$6,855.10","$6,855.10",$0.00,$0.00,$187.50,$0.00,$0.00
"Nov 27, 2021",13,40,"$2,252.56","$2,252.56",$0.00,$0.00,$90.00,$0.00,$0.00
"Nov 28, 2021",13,36,"$1,858.82","$1,858.82",$0.00,$0.00,$102.50,$0.00,$0.00
"Nov 29, 2021",14,69,"$2,471.63","$2,471.63",$0.00,$0.00,$117.50,$23.10,$0.00
"Nov 30, 2021",17,117,"$6,985.64","$6,985.64",$0.00,$0.00,$567.50,$0.00,$0.00
Total,291,1087,"$53,103.69","$53,103.69",$0.00,$0.00,"$2,532.50",$514.29,$0.00
