Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Dec 1, 2021",17,49,"$1,790.67","$1,790.67",$0.00,$0.00,$120.00,$0.00,$0.00
"Dec 2, 2021",14,57,"$2,900.13","$2,900.13",$0.00,$0.00,$97.50,$0.00,$0.00
"Dec 3, 2021",16,98,"$7,728.30","$7,728.30",$0.00,$0.00,$127.50,$0.00,$0.00
"Dec 4, 2021",4,6,$762.03,$762.03,$0.00,$0.00,$30.00,$0.00,$0.00
"Dec 5, 2021",4,7,$359.06,$359.06,$0.00,$0.00,$30.00,$0.00,$0.00
"Dec 6, 2021",8,13,$791.07,$791.07,$0.00,$0.00,$45.00,$0.00,$0.00
"Dec 7, 2021",8,16,$764.96,$764.96,$0.00,$0.00,$52.50,$0.00,$0.00
"Dec 8, 2021",4,8,$274.76,$274.76,$0.00,$0.00,$30.00,$0.00,$0.00
"Dec 9, 2021",11,34,"$3,075.44","$3,075.44",$0.00,$0.00,$90.00,$0.00,$0.00
"Dec 10, 2021",11,20,"$2,322.60","$2,322.60",$0.00,$0.00,$82.50,$0.00,$0.00
"Dec 11, 2021",5,8,$242.30,$242.30,$0.00,$0.00,$37.50,$0.00,$0.00
"Dec 12, 2021",9,17,"$1,396.25","$1,396.25",$0.00,$0.00,$52.50,$0.00,$0.00
"Dec 13, 2021",5,14,$611.92,$611.92,$0.00,$0.00,$37.50,$0.00,$0.00
"Dec 14, 2021",5,7,$884.77,$884.77,$0.00,$0.00,$30.00,$0.00,$0.00
"Dec 15, 2021",7,14,$615.91,$615.91,$0.00,$0.00,$52.50,$0.00,$0.00
"Dec 16, 2021",9,24,"$1,199.58","$1,199.58",$0.00,$0.00,$67.50,$0.00,$0.00
"Dec 17, 2021",5,10,$751.43,$751.43,$0.00,$0.00,$37.50,$0.00,$0.00
"Dec 18, 2021",2,4,$475.60,$475.60,$0.00,$0.00,$15.00,$0.00,$0.00
"Dec 19, 2021",1,1,$65.96,$65.96,$0.00,$0.00,$7.50,$0.00,$0.00
"Dec 20, 2021",8,33,"$2,608.02","$2,608.02",$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 21, 2021",8,14,$623.30,$623.30,$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 22, 2021",3,45,$468.90,$468.90,$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 23, 2021",7,19,$894.90,$894.90,$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 24, 2021",3,8,$472.71,$472.71,$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 25, 2021",5,23,$872.32,$872.32,$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 26, 2021",3,10,$679.18,$679.18,$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 27, 2021",6,18,"$1,186.66","$1,186.66",$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 28, 2021",7,48,"$1,214.92","$1,214.92",$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 29, 2021",13,70,"$2,010.29","$2,010.29",$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 30, 2021",10,24,"$1,657.04","$1,657.04",$0.00,$0.00,$0.00,$0.00,$0.00
"Dec 31, 2021",5,10,$260.15,$260.15,$0.00,$0.00,$0.00,$0.00,$0.00
Total,223,729,"$39,961.13","$39,961.13",$0.00,$0.00,"$1,042.50",$0.00,$0.00
