Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
1/2020,0,0,"$0,000.00","$0,000.00",$00.00,$0.00,$00.00,$00.00,$0.00
2/2020,0,0,"$0,000.00","$0,000.00",$00.00,$0.00,$00.00,$00.00,$0.00
3/2020,0,0,"$0,000.00","$0,000.00",$00.00,$0.00,$00.00,$00.00,$0.00
4/2020,0,0,"$0,000.00","$0,000.00",$00.00,$0.00,$00.00,$00.00,$0.00
5/2020,17,80,"$2,696.34","$2,696.34",$66.76,$0.00,$105.00,$187.89,$0.00
6/2020,97,361,"$17,026.38","$17,026.38",$87.45,$0.00,$725.00,"$1,449.30",$0.00
7/2020,142,481,"$29,658.74","$30,205.44",$612.70,$0.00,"$1,025.00","$1,521.51",$546.70
8/2020,179,611,"$27,569.31","$27,569.31",$123.40,$0.00,"$1,337.50","$1,662.44",$0.00
9/2020,175,595,"$25,136.43","$25,136.43",$0.00,$0.00,"$1,280.00",$149.46,$650.45
10/2020,161,549,"$24,660.87","$24,660.87",$0.00,$0.00,"$1,177.50",$51.84,$411.10
11/2020,131,361,"$23,770.25","$23,770.25",$0.00,$0.00,$975.00,$14.00,$389.90
12/2020,123,281,"$15,478.34","$15,478.34",$0.00,$0.00,$915.00,$3.50,$141.60
Total,1025,3319,"$165,996.66","$166,543.36",$890.31,$0.00,"$7,540.00","$5,039.94","$2,139.75"
