Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Jan 1, 2022",1,1,$134.10,$134.10,$0.00,$0.00,$0.00,$0.00,$0.00
"Jan 2, 2022",3,6,$802.75,$802.75,$0.00,$0.00,$0.00,$0.00,$0.00
"Jan 3, 2022",5,15,$554.78,$554.78,$0.00,$0.00,$0.00,$0.00,$0.00
"Jan 4, 2022",5,14,"$1,150.66","$1,150.66",$0.00,$0.00,$0.00,$0.00,$0.00
"Jan 5, 2022",13,52,"$2,845.80","$2,845.80",$0.00,$0.00,$0.00,$0.00,$0.00
"Jan 6, 2022",10,27,"$1,834.34","$1,834.34",$0.00,$0.00,$0.00,$0.00,$0.00
"Jan 7, 2022",13,24,"$3,181.58","$3,181.58",$0.00,$0.00,$0.00,$0.00,$0.00
"Jan 8, 2022",5,7,"$1,139.28","$1,139.28",$0.00,$0.00,$0.00,$0.00,$0.00
"Jan 9, 2022",9,16,"$1,218.04","$1,218.04",$0.00,$0.00,$0.00,$0.00,$0.00
"Jan 10, 2022",1,1,$88.21,$88.21,$0.00,$0.00,$7.50,$0.00,$0.00
"Jan 11, 2022",5,6,$503.30,$503.30,$0.00,$0.00,$37.50,$0.00,$0.00
"Jan 12, 2022",3,8,$651.84,$651.84,$0.00,$0.00,$22.50,$0.00,$0.00
"Jan 13, 2022",8,18,"$3,406.51","$3,406.51",$0.00,$0.00,$60.00,$0.00,$0.00
"Jan 14, 2022",3,14,$951.24,$951.24,$0.00,$0.00,$22.50,$0.00,$0.00
"Jan 15, 2022",6,9,"$1,095.51","$1,095.51",$0.00,$0.00,$45.00,$0.00,$0.00
"Jan 16, 2022",4,12,$887.71,$887.71,$0.00,$0.00,$22.50,$0.00,$0.00
Total,94,230,"$20,445.65","$20,445.65",$0.00,$0.00,$217.50,$0.00,$0.00
