Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
1/2021,119,288,"$15,801.69","$15,801.69",$0.00,$0.00,$892.50,$0.00,$133.30
2/2021,125,342,"$17,276.56","$17,276.56",$0.00,$0.00,$932.50,$5.99,$215.50
3/2021,123,337,"$18,558.40","$18,558.40",$0.00,$0.00,$922.50,$155.04,$0.00
4/2021,127,389,"$28,853.52","$28,853.52",$0.00,$0.00,"$1,125.00",$51.28,$0.00
5/2021,125,319,"$24,450.42","$24,450.42",$0.00,$0.00,"$1,077.50",$719.92,$0.00
6/2021,323,1236,"$72,266.61","$72,312.15",$0.00,$0.00,"$2,552.50","$2,559.28",$45.54
7/2021,231,987,"$44,626.94","$44,626.94",$0.00,$0.00,"$1,852.50",$285.70,$0.00
8/2021,322,845,"$47,758.60","$47,758.60",$0.00,$0.00,"$2,475.00",$229.65,$0.00
9/2021,429,1329,"$65,905.81","$65,905.81",$0.00,$0.00,"$3,477.50",$48.39,$0.00
10/2021,113,258,"$17,242.93","$17,242.93",$0.00,$0.00,$837.50,$0.00,$0.00
Total,2037,6330,"$352,741.48","$352,787.02",$0.00,$0.00,"$16,145.00","$4,055.25",$394.34
