Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Jan 1, 2021",5,10,$481.26,$481.26,$0.00,$0.00,$37.50,$0.00,$0.00
"Jan 2, 2021",4,6,$381.36,$381.36,$0.00,$0.00,$37.50,$0.00,$0.00
"Jan 3, 2021",1,3,$13.35,$13.35,$0.00,$0.00,$7.50,$0.00,$0.00
"Jan 4, 2021",3,24,$772.00,$772.00,$0.00,$0.00,$22.50,$0.00,$0.00
"Jan 5, 2021",4,12,$311.34,$311.34,$0.00,$0.00,$30.00,$0.00,$0.00
"Jan 6, 2021",4,6,$128.25,$128.25,$0.00,$0.00,$30.00,$0.00,$0.00
"Jan 7, 2021",4,11,$295.85,$295.85,$0.00,$0.00,$30.00,$0.00,$0.00
"Jan 8, 2021",6,12,"$1,929.16","$1,929.16",$0.00,$0.00,$37.50,$0.00,$133.30
"Jan 9, 2021",4,4,$637.10,$637.10,$0.00,$0.00,$30.00,$0.00,$0.00
"Jan 11, 2021",3,5,$154.79,$154.79,$0.00,$0.00,$22.50,$0.00,$0.00
"Jan 12, 2021",10,15,$613.32,$613.32,$0.00,$0.00,$75.00,$0.00,$0.00
"Jan 13, 2021",4,4,$490.15,$490.15,$0.00,$0.00,$30.00,$0.00,$0.00
"Jan 14, 2021",1,2,$77.40,$77.40,$0.00,$0.00,$7.50,$0.00,$0.00
"Jan 15, 2021",6,13,$303.99,$303.99,$0.00,$0.00,$45.00,$0.00,$0.00
"Jan 16, 2021",2,5,$346.60,$346.60,$0.00,$0.00,$15.00,$0.00,$0.00
"Jan 17, 2021",5,7,$307.87,$307.87,$0.00,$0.00,$37.50,$0.00,$0.00
"Jan 18, 2021",2,5,$192.75,$192.75,$0.00,$0.00,$15.00,$0.00,$0.00
"Jan 19, 2021",4,14,$953.37,$953.37,$0.00,$0.00,$30.00,$0.00,$0.00
"Jan 20, 2021",7,21,"$1,114.70","$1,114.70",$0.00,$0.00,$52.50,$0.00,$0.00
"Jan 21, 2021",1,3,$101.35,$101.35,$0.00,$0.00,$7.50,$0.00,$0.00
"Jan 22, 2021",4,4,"$1,001.75","$1,001.75",$0.00,$0.00,$30.00,$0.00,$0.00
"Jan 23, 2021",1,1,$83.96,$83.96,$0.00,$0.00,$7.50,$0.00,$0.00
"Jan 24, 2021",3,5,$173.95,$173.95,$0.00,$0.00,$22.50,$0.00,$0.00
"Jan 25, 2021",6,22,$672.74,$672.74,$0.00,$0.00,$45.00,$0.00,$0.00
"Jan 26, 2021",7,20,"$1,369.41","$1,369.41",$0.00,$0.00,$52.50,$0.00,$0.00
"Jan 27, 2021",4,5,$223.32,$223.32,$0.00,$0.00,$30.00,$0.00,$0.00
"Jan 28, 2021",5,14,"$1,030.54","$1,030.54",$0.00,$0.00,$37.50,$0.00,$0.00
"Jan 29, 2021",5,22,$977.88,$977.88,$0.00,$0.00,$37.50,$0.00,$0.00
"Jan 30, 2021",3,10,$446.91,$446.91,$0.00,$0.00,$22.50,$0.00,$0.00
"Jan 31, 2021",1,3,$215.27,$215.27,$0.00,$0.00,$7.50,$0.00,$0.00
Total,119,288,"$15,801.69","$15,801.69",$0.00,$0.00,$892.50,$0.00,$133.30
