Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Feb 1, 2021",4,29,"$1,013.47","$1,013.47",$0.00,$0.00,$30.00,$0.00,$0.00
"Feb 2, 2021",5,7,$640.55,$640.55,$0.00,$0.00,$37.50,$0.00,$0.00
"Feb 3, 2021",6,16,"$1,495.31","$1,495.31",$0.00,$0.00,$57.50,$0.00,$0.00
"Feb 4, 2021",4,7,$440.45,$440.45,$0.00,$0.00,$30.00,$0.00,$0.00
"Feb 5, 2021",7,11,"$1,798.37","$1,798.37",$0.00,$0.00,$52.50,$0.00,$0.00
"Feb 6, 2021",2,4,$472.40,$472.40,$0.00,$0.00,$22.50,$0.00,$0.00
"Feb 7, 2021",3,11,$794.38,$794.38,$0.00,$0.00,$22.50,$0.00,$0.00
"Feb 8, 2021",4,22,$707.66,$707.66,$0.00,$0.00,$30.00,$0.00,$0.00
"Feb 9, 2021",7,14,$866.51,$866.51,$0.00,$0.00,$52.50,$0.00,$0.00
"Feb 10, 2021",8,24,"$1,555.43","$1,555.43",$0.00,$0.00,$60.00,$0.00,$0.00
"Feb 11, 2021",4,23,$909.41,$909.41,$0.00,$0.00,$22.50,$0.00,$0.00
"Feb 12, 2021",2,4,$97.85,$97.85,$0.00,$0.00,$15.00,$0.00,$0.00
"Feb 13, 2021",3,6,$331.34,$331.34,$0.00,$0.00,$30.00,$0.00,$0.00
"Feb 14, 2021",4,8,$245.07,$245.07,$0.00,$0.00,$35.00,$0.00,$0.00
"Feb 15, 2021",4,5,$98.39,$98.39,$0.00,$0.00,$22.50,$0.00,$215.50
"Feb 16, 2021",8,31,$587.49,$587.49,$0.00,$0.00,$60.00,$0.00,$0.00
"Feb 17, 2021",6,12,$406.69,$406.69,$0.00,$0.00,$45.00,$0.00,$0.00
"Feb 18, 2021",5,14,$749.92,$749.92,$0.00,$0.00,$30.00,$0.00,$0.00
"Feb 19, 2021",5,23,$327.11,$327.11,$0.00,$0.00,$30.00,$0.00,$0.00
"Feb 20, 2021",5,9,$541.06,$541.06,$0.00,$0.00,$37.50,$0.00,$0.00
"Feb 21, 2021",5,8,$780.33,$780.33,$0.00,$0.00,$37.50,$0.00,$0.00
"Feb 22, 2021",2,4,$283.76,$283.76,$0.00,$0.00,$15.00,$0.00,$0.00
"Feb 23, 2021",4,9,$534.12,$534.12,$0.00,$0.00,$30.00,$0.00,$0.00
"Feb 24, 2021",2,2,$213.95,$213.95,$0.00,$0.00,$15.00,$0.00,$0.00
"Feb 25, 2021",6,14,$498.31,$498.31,$0.00,$0.00,$37.50,$5.99,$0.00
"Feb 26, 2021",5,11,$347.98,$347.98,$0.00,$0.00,$37.50,$0.00,$0.00
"Feb 27, 2021",4,10,$324.01,$324.01,$0.00,$0.00,$30.00,$0.00,$0.00
"Feb 28, 2021",1,4,$215.24,$215.24,$0.00,$0.00,$7.50,$0.00,$0.00
Total,125,342,"$17,276.56","$17,276.56",$0.00,$0.00,$932.50,$5.99,$215.50
