Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Mar 1, 2021",6,15,"$1,877.16","$1,877.16",$0.00,$0.00,$52.50,$0.00,$0.00
"Mar 2, 2021",5,12,$206.31,$206.31,$0.00,$0.00,$37.50,$0.00,$0.00
"Mar 3, 2021",3,3,$948.96,$948.96,$0.00,$0.00,$22.50,$0.00,$0.00
"Mar 4, 2021",4,7,$277.15,$277.15,$0.00,$0.00,$30.00,$0.00,$0.00
"Mar 5, 2021",1,1,$166.50,$166.50,$0.00,$0.00,$7.50,$0.00,$0.00
"Mar 6, 2021",2,3,$68.05,$68.05,$0.00,$0.00,$15.00,$0.00,$0.00
"Mar 7, 2021",3,6,$154.25,$154.25,$0.00,$0.00,$22.50,$0.00,$0.00
"Mar 8, 2021",3,5,$468.65,$468.65,$0.00,$0.00,$15.00,$0.00,$0.00
"Mar 9, 2021",5,20,$550.11,$550.11,$0.00,$0.00,$37.50,$15.54,$0.00
"Mar 10, 2021",7,30,"$1,150.80","$1,150.80",$0.00,$0.00,$52.50,$0.00,$0.00
"Mar 11, 2021",2,3,$762.95,$762.95,$0.00,$0.00,$15.00,$0.00,$0.00
"Mar 12, 2021",3,7,$127.87,$127.87,$0.00,$0.00,$22.50,$0.00,$0.00
"Mar 13, 2021",2,2,"$1,359.50","$1,359.50",$0.00,$0.00,$15.00,$139.50,$0.00
"Mar 14, 2021",2,8,$113.20,$113.20,$0.00,$0.00,$15.00,$0.00,$0.00
"Mar 15, 2021",5,17,$393.50,$393.50,$0.00,$0.00,$30.00,$0.00,$0.00
"Mar 16, 2021",7,15,$384.07,$384.07,$0.00,$0.00,$52.50,$0.00,$0.00
"Mar 17, 2021",3,5,$329.45,$329.45,$0.00,$0.00,$22.50,$0.00,$0.00
"Mar 18, 2021",3,6,$412.45,$412.45,$0.00,$0.00,$22.50,$0.00,$0.00
"Mar 19, 2021",3,3,$403.40,$403.40,$0.00,$0.00,$30.00,$0.00,$0.00
"Mar 20, 2021",1,1,$42.45,$42.45,$0.00,$0.00,$7.50,$0.00,$0.00
"Mar 21, 2021",3,3,"$1,106.25","$1,106.25",$0.00,$0.00,$22.50,$0.00,$0.00
"Mar 22, 2021",4,8,$891.15,$891.15,$0.00,$0.00,$22.50,$0.00,$0.00
"Mar 23, 2021",6,17,$265.22,$265.22,$0.00,$0.00,$45.00,$0.00,$0.00
"Mar 24, 2021",3,12,$465.32,$465.32,$0.00,$0.00,$15.00,$0.00,$0.00
"Mar 25, 2021",5,16,$482.70,$482.70,$0.00,$0.00,$37.50,$0.00,$0.00
"Mar 27, 2021",2,17,$204.16,$204.16,$0.00,$0.00,$15.00,$0.00,$0.00
"Mar 28, 2021",3,14,$606.00,$606.00,$0.00,$0.00,$30.00,$0.00,$0.00
"Mar 29, 2021",16,46,"$3,141.54","$3,141.54",$0.00,$0.00,$135.00,$0.00,$0.00
"Mar 30, 2021",5,20,$649.54,$649.54,$0.00,$0.00,$37.50,$0.00,$0.00
"Mar 31, 2021",6,15,$549.74,$549.74,$0.00,$0.00,$37.50,$0.00,$0.00
Total,123,337,"$18,558.40","$18,558.40",$0.00,$0.00,$922.50,$155.04,$0.00
