Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"May 1, 2021",5,9,"$2,593.49","$2,593.49",$0.00,$0.00,$37.50,$256.79,$0.00
"May 2, 2021",6,13,"$2,875.45","$2,875.45",$0.00,$0.00,$52.50,$284.50,$0.00
"May 3, 2021",10,23,"$2,907.73","$2,907.73",$0.00,$0.00,$67.50,$8.74,$0.00
"May 4, 2021",6,24,"$1,064.58","$1,064.58",$0.00,$0.00,$45.00,$0.00,$0.00
"May 5, 2021",3,34,"$1,173.82","$1,173.82",$0.00,$0.00,$22.50,$0.00,$0.00
"May 6, 2021",4,5,"$1,472.78","$1,472.78",$0.00,$0.00,$22.50,$62.00,$0.00
"May 7, 2021",3,3,$187.46,$187.46,$0.00,$0.00,$22.50,$0.00,$0.00
"May 8, 2021",2,4,$94.04,$94.04,$0.00,$0.00,$15.00,$0.00,$0.00
"May 9, 2021",3,10,"$1,034.69","$1,034.69",$0.00,$0.00,$22.50,$0.00,$0.00
"May 10, 2021",5,17,$462.28,$462.28,$0.00,$0.00,$37.50,$0.00,$0.00
"May 11, 2021",6,14,$460.16,$460.16,$0.00,$0.00,$45.00,$0.00,$0.00
"May 12, 2021",3,6,$331.40,$331.40,$0.00,$0.00,$22.50,$0.00,$0.00
"May 13, 2021",6,9,$199.05,$199.05,$0.00,$0.00,$45.00,$0.00,$0.00
"May 14, 2021",1,2,$32.26,$32.26,$0.00,$0.00,$7.50,$0.00,$0.00
"May 15, 2021",1,5,$214.25,$214.25,$0.00,$0.00,$7.50,$0.00,$0.00
"May 16, 2021",5,26,$933.40,$933.40,$0.00,$0.00,$37.50,$0.00,$0.00
"May 17, 2021",4,10,$408.86,$408.86,$0.00,$0.00,$30.00,$0.00,$0.00
"May 18, 2021",5,10,"$2,847.64","$2,847.64",$0.00,$0.00,$180.00,$0.00,$0.00
"May 19, 2021",2,2,$179.55,$179.55,$0.00,$0.00,$15.00,$0.00,$0.00
"May 20, 2021",1,1,$206.50,$206.50,$0.00,$0.00,$7.50,$0.00,$0.00
"May 21, 2021",8,22,$463.05,$463.05,$0.00,$0.00,$45.00,$0.00,$0.00
"May 22, 2021",4,5,$302.26,$302.26,$0.00,$0.00,$37.50,$0.00,$0.00
"May 23, 2021",3,7,$299.44,$299.44,$0.00,$0.00,$22.50,$0.00,$0.00
"May 24, 2021",6,11,$458.23,$458.23,$0.00,$0.00,$57.50,$0.00,$0.00
"May 25, 2021",4,9,$992.61,$992.61,$0.00,$0.00,$30.00,$11.99,$0.00
"May 26, 2021",7,10,$647.69,$647.69,$0.00,$0.00,$52.50,$0.00,$0.00
"May 27, 2021",1,4,$550.90,$550.90,$0.00,$0.00,$7.50,$95.90,$0.00
"May 28, 2021",3,6,$343.20,$343.20,$0.00,$0.00,$22.50,$0.00,$0.00
"May 29, 2021",1,2,$41.40,$41.40,$0.00,$0.00,$7.50,$0.00,$0.00
"May 31, 2021",7,16,$672.25,$672.25,$0.00,$0.00,$52.50,$0.00,$0.00
Total,125,319,"$24,450.42","$24,450.42",$0.00,$0.00,"$1,077.50",$719.92,$0.00
