Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Aug 1, 2021",3,66,"$1,613.81","$1,613.81",$0.00,$191.67,$22.50,$0.00,$0.00
"Aug 2, 2021",31,362,"$2,368.10","$2,368.10",$0.00,$0.00,$97.50,$0.00,$0.00
"Aug 3, 2021",26,361,"$2,219.57","$2,219.57",$0.00,$8.89,$87.50,$0.00,$0.00
"Aug 4, 2021",21,171,"$1,625.63","$1,625.63",$0.00,$0.00,$52.50,$68.78,$0.00
"Aug 5, 2021",19,268,"$2,328.64","$2,328.64",$0.00,$99.40,$75.00,$0.00,$0.00
"Aug 6, 2021",12,33,"$2,346.51","$2,346.51",$0.00,$40.33,$67.50,$0.00,$0.00
"Aug 7, 2021",9,138,"$1,124.35","$1,124.35",$0.00,$0.00,$45.00,$0.00,$0.00
"Aug 8, 2021",10,31,"$1,640.24","$1,640.24",$0.00,$0.00,$60.00,$0.00,$0.00
"Aug 9, 2021",16,239,"$1,013.50","$1,013.50",$0.00,$0.00,$45.00,$0.00,$0.00
"Aug 10, 2021",13,38,"$1,282.20","$1,282.20",$0.00,$0.00,$75.00,$0.00,$0.00
"Aug 11, 2021",17,147,"$2,135.21","$2,135.21",$0.00,$0.00,$97.50,$0.00,$0.00
"Aug 12, 2021",9,30,"$1,093.28","$1,093.28",$0.00,$34.93,$52.50,$0.00,$0.00
"Aug 13, 2021",12,52,"$1,129.46","$1,129.46",$0.00,$30.67,$75.00,$0.00,$0.00
"Aug 14, 2021",8,13,$743.32,$743.32,$0.00,$0.00,$60.00,$0.00,$0.00
"Aug 15, 2021",6,17,"$2,168.85","$2,168.85",$0.00,$0.00,$37.50,$0.00,$0.00
"Aug 16, 2021",14,47,"$2,447.13","$2,447.13",$0.00,$0.00,$97.50,$0.00,$0.00
"Aug 17, 2021",11,48,$937.85,$937.85,$0.00,$0.00,$60.00,$0.00,$0.00
"Aug 18, 2021",11,136,$932.51,$932.51,$0.00,$0.00,$52.50,$0.00,$0.00
"Aug 19, 2021",15,273,"$1,428.75","$1,428.75",$0.00,$0.00,$82.50,$0.00,$0.00
"Aug 20, 2021",14,86,$629.07,$629.07,$0.00,$0.00,$60.00,$0.00,$0.00
"Aug 21, 2021",12,32,"$1,677.87","$1,677.87",$0.00,$0.00,$90.00,$0.00,$0.00
"Aug 22, 2021",11,35,"$1,390.44","$1,390.44",$0.00,$0.00,$82.50,$0.00,$0.00
"Aug 23, 2021",21,92,"$1,927.19","$1,927.19",$0.00,$0.00,$140.00,$0.81,$0.00
"Aug 24, 2021",18,149,"$1,915.49","$1,915.49",$0.00,$0.00,$97.50,$0.00,$0.00
"Aug 25, 2021",23,107,"$3,349.68","$3,349.68",$0.00,$0.00,$157.50,$63.60,$0.00
"Aug 26, 2021",12,47,"$1,257.52","$1,257.52",$0.00,$0.00,$75.00,$0.00,$0.00
"Aug 27, 2021",12,34,"$1,530.80","$1,530.80",$0.00,$0.00,$82.50,$0.99,$0.00
"Aug 28, 2021",15,36,"$3,064.12","$3,064.12",$0.00,$0.00,$132.50,$9.70,$0.00
"Aug 29, 2021",13,33,"$1,979.37","$1,979.37",$0.00,$0.00,$110.00,$104.61,$0.00
"Aug 30, 2021",19,74,"$2,494.51","$2,494.51",$0.00,$0.00,$120.00,$14.13,$0.00
"Aug 31, 2021",14,42,"$1,078.57","$1,078.57",$0.00,$0.00,$90.00,$35.81,$0.00
Total,447,3237,"$52,873.54","$52,873.54",$0.00,$405.89,"$2,480.00",$298.43,$0.00
