Interval,Orders,"Sales Items","Sales Total",Invoiced,Refunded,"Sales Tax","Sales Shipping","Sales Discount",Canceled
"Sep 1, 2021",29,161,"$2,469.82","$2,469.82",$0.00,$0.00,$172.50,$0.00,$0.00
"Sep 2, 2021",34,173,"$3,891.37","$3,891.37",$0.00,$0.00,$202.50,$0.00,$0.00
"Sep 3, 2021",22,145,"$2,841.40","$2,841.40",$0.00,$0.00,$135.00,$0.00,$0.00
"Sep 4, 2021",17,62,"$1,991.46","$1,991.46",$0.00,$0.00,$112.50,$0.00,$0.00
"Sep 5, 2021",21,60,"$3,351.92","$3,351.92",$0.00,$0.00,$315.00,$0.00,$0.00
"Sep 6, 2021",22,243,"$1,499.10","$1,499.10",$0.00,$0.00,$132.50,$0.00,$0.00
"Sep 7, 2021",22,85,"$3,407.82","$3,407.82",$0.00,$0.00,$147.50,$0.00,$0.00
"Sep 8, 2021",26,117,"$4,314.92","$4,314.92",$0.00,$0.00,$165.00,$0.00,$0.00
"Sep 9, 2021",22,173,"$3,837.21","$3,837.21",$0.00,$35.29,$282.50,$33.92,$0.00
"Sep 10, 2021",25,99,"$5,221.68","$5,221.68",$0.00,$10.70,$177.50,$0.00,$0.00
"Sep 11, 2021",13,41,"$1,578.50","$1,578.50",$0.00,$0.00,$105.00,$0.00,$0.00
"Sep 12, 2021",22,69,"$3,622.85","$3,622.85",$0.00,$0.00,$172.50,$0.00,$0.00
"Sep 13, 2021",31,178,"$5,321.71","$5,321.71",$0.00,$0.00,$210.00,$13.16,$0.00
"Sep 14, 2021",20,84,"$3,144.08","$3,144.08",$0.00,$0.00,$120.00,$0.00,$0.00
"Sep 15, 2021",8,39,$456.10,$456.10,$0.00,$0.00,$37.50,$0.00,$0.00
"Sep 16, 2021",18,101,"$2,280.96","$2,280.96",$0.00,$0.00,$97.50,$0.00,$0.00
"Sep 17, 2021",5,33,$414.58,$414.58,$0.00,$0.00,$22.50,$0.00,$0.00
"Sep 18, 2021",12,26,"$1,633.22","$1,633.22",$0.00,$0.00,$82.50,$1.31,$0.00
"Sep 19, 2021",6,30,"$1,253.27","$1,253.27",$0.00,$0.00,$45.00,$0.00,$0.00
"Sep 20, 2021",8,45,$467.61,$467.61,$0.00,$0.00,$45.00,$0.00,$0.00
"Sep 21, 2021",16,164,"$2,628.79","$2,628.79",$0.00,$0.00,$112.50,$0.00,$0.00
"Sep 22, 2021",13,45,"$1,480.28","$1,480.28",$0.00,$0.00,$82.50,$0.00,$0.00
"Sep 23, 2021",6,15,"$1,023.56","$1,023.56",$0.00,$0.00,$37.50,$0.00,$0.00
"Sep 24, 2021",13,42,$738.05,$738.05,$0.00,$0.00,$82.50,$0.00,$0.00
"Sep 25, 2021",4,11,$572.51,$572.51,$0.00,$0.00,$30.00,$0.00,$0.00
"Sep 26, 2021",4,20,"$1,365.65","$1,365.65",$0.00,$0.00,$22.50,$0.00,$0.00
"Sep 27, 2021",15,60,"$1,063.33","$1,063.33",$0.00,$22.19,$82.50,$0.00,$0.00
"Sep 28, 2021",13,46,$952.94,$952.94,$0.00,$0.00,$67.50,$0.00,$0.00
"Sep 29, 2021",21,192,"$2,851.94","$2,851.94",$0.00,$0.00,$127.50,$0.00,$0.00
"Sep 30, 2021",9,48,"$1,085.07","$1,085.07",$0.00,$0.00,$52.50,$0.00,$0.00
Total,497,2607,"$66,761.70","$66,761.70",$0.00,$68.18,"$3,477.50",$48.39,$0.00
